Botanical Name,Common Name,Family,Bioactive Compounds,Traditional Uses
Botanical Name: Aerva lanata,Common Name: Mountain knotgrass,Family : Amaranthaceae,"Bioactive Compounds: Flavonoids, saponins, alkaloids","Traditional Uses : Used in traditional medicine for its diuretic, anti-inflammatory, and anti-diabetic properties."
Botanical Name: Aloe vera,"Common Name: Aloe, Burn plant",Family : Asphodelaceae,"Bioactive Compounds: Aloin, polysaccharides, anthraquinones","Traditional Uses : Widely used for its healing properties in treating burns, wounds, and skin ailments."
Botanical Name: Andrographis paniculata,"Common Name: Kalmegh, Green chiretta",Family : Acanthaceae,"Bioactive Compounds: Andrographolide, diterpenoids",Traditional Uses : Used in traditional medicine for its immune-boosting and anti-inflammatory properties.
Botanical Name: Bacopa monnieri,"Common Name: Brahmi, Water hyssop",Family : Plantaginaceae,"Bioactive Compounds: Bacosides, alkaloids",Traditional Uses : Known for its cognitive-enhancing and memory-improving properties in Ayurvedic medicine.
Botanical Name: Calotropis gigantea,"Common Name: Crown flower, Giant milkweed",Family : Apocynaceae,"Bioactive Compounds: Calotropin, uscharin",Traditional Uses : Utilized in traditional medicine for its anti-inflammatory and analgesic properties.
Botanical Name: Centella asiatica,"Common Name: Gotu kola, Indian pennywort",Family : Apiaceae,"Bioactive Compounds: Triterpenoids, asiaticoside",Traditional Uses : Known for its wound healing and cognitive-enhancing properties in traditional medicine.
Botanical Name: Chromolaena odorata,"Common Name: Siam weed, Bitter bush",Family : Asteraceae,"Bioactive Compounds: Triterpenes, flavonoids",Traditional Uses : Used in traditional medicine for its anti-inflammatory and antimicrobial properties.
Botanical Name: Cissus quadrangularis,"Common Name: Veld grape, Devil's backbone",Family : Vitaceae,"Bioactive Compounds: Ketosterones, flavonoids",Traditional Uses : Utilized for its bone-strengthening and anti-inflammatory effects in traditional medicine.
Botanical Name: Clerodendrum infortunatum,"Common Name: Hill glory bower, Sorcerer's bush",Family : Lamiaceae,"Bioactive Compounds: Alkaloids, flavonoids",Traditional Uses : Employed for its analgesic and anti-inflammatory properties in traditional medicine.
Botanical Name: Clitoria ternatea,"Common Name: Butterfly pea, Blue pea",Family : Fabaceae,"Bioactive Compounds: Flavonoids, alkaloids",Traditional Uses : Known for its antioxidant and memory-enhancing properties in traditional medicine.
Botanical Name: Coccinia grandis,"Common Name: Ivy gourd, Scarlet gourd",Family : Cucurbitaceae,"Bioactive Compounds: Coccinegrandin, flavonoids",Traditional Uses : Utilized for its anti-diabetic and anti-inflammatory properties in traditional medicine.
Botanical Name: Curcuma longa,Common Name: Turmeric,Family : Zingiberaceae,"Bioactive Compounds: Curcumin, turmerones",Traditional Uses : Renowned for its anti-inflammatory and antioxidant properties in Ayurvedic medicine.
Botanical Name: Datura metal linn,"Common Name: Thorn apple, Devil's trumpet",Family : Solanaceae,"Bioactive Compounds: Tropane alkaloids, scopolamine",Traditional Uses : Used cautiously in traditional medicine for its hallucinogenic and analgesic properties.
Botanical Name: Desmodium gangeticum,Common Name: Sal leaved desmodium,Family : Fabaceae,"Bioactive Compounds: Flavonoids, alkaloids",Traditional Uses : Known for its hepatoprotective and anti-inflammatory properties in traditional medicine.
Botanical Name: Hemigraphis colorata,"Common Name: Red ivy, Waffle plant",Family : Acanthaceae,"Bioactive Compounds: Phenolic compounds, flavonoids",Traditional Uses : Utilized for its antioxidant and anti-inflammatory effects in traditional medicine.
Botanical Name: Kaempferia galanga linn,"Common Name: Galangal, Thai ginger",Family : Zingiberaceae,"Bioactive Compounds: Galangin, gingerol",Traditional Uses : Known for its digestive and anti-inflammatory properties in traditional medicine.
Botanical Name: Mentha spicata,Common Name: Spearmint,Family : Lamiaceae,"Bioactive Compounds: Menthol, carvone",Traditional Uses : Utilized for its digestive and respiratory benefits in traditional medicine.
Botanical Name: Ocimum gratissimum,"Common Name: Clove basil, African basil",Family : Lamiaceae,"Bioactive Compounds: Eugenol, thymol",Traditional Uses : Known for its antimicrobial and anti-inflammatory properties in traditional medicine.
Botanical Name: Ocimum tenuiflorum,"Common Name: Holy basil, Tulsi",Family : Lamiaceae,"Bioactive Compounds: Ursolic acid, eugenol",Traditional Uses : Considered sacred and utilized for its adaptogenic and immunomodulatory properties in traditional medicine.
Botanical Name: Oxalis corniculata,"Common Name: Creeping woodsorrel, Yellow woodsorrel",Family : Oxalidaceae,"Bioactive Compounds: Flavonoids, oxalic acid",Traditional Uses : Used for its diuretic and anti-inflammatory effects in traditional medicine.
Botanical Name: Peperomia pellucida,"Common Name: Shiny bush, Radiator plant",Family : Piperaceae,"Bioactive Compounds: Flavonoids, alkaloids",Traditional Uses : Employed for its anti-inflammatory and analgesic properties in traditional medicine.
Botanical Name: Phyllanthus niruri,"Common Name: Chanca piedra, Stonebreaker",Family : Phyllanthaceae,"Bioactive Compounds: Phyllanthin, hypophyllanthin",Traditional Uses : Known for its hepatoprotective and anti-urolithiatic properties in traditional medicine.
Botanical Name: Piper betle,Common Name: Betel leaf,Family : Piperaceae,"Bioactive Compounds: Piperine, eugenol",Traditional Uses : Utilized for its antimicrobial and digestive properties in traditional medicine.
Botanical Name: Piper longum,Common Name: Long pepper,Family : Piperaceae,"Bioactive Compounds: Piperine, piperlongumine",Traditional Uses : Known for its digestive and respiratory benefits in traditional medicine.
Botanical Name: Piper nigrum,Common Name: Black pepper,Family : Piperaceae,"Bioactive Compounds: Piperine, piperlongumine",Traditional Uses : Utilized for its digestive and antioxidant properties in traditional medicine.
Botanical Name: Plectranthus barbatus,"Common Name: Indian coleus, Coleus forskohlii",Family : Lamiaceae,"Bioactive Compounds: Forskolin, diterpenoids",Traditional Uses : Known for its cardiovascular and weight loss benefits in traditional medicine.
